IOBS,b5_1,b5_2,b5_3,b5_4,b5_5,b5_6,b5_7,b5_8,b5_9,b5_10,b5_11
410324,9,10,10,10,9,9,9,,,,
410325,4,5,6,3,6,5,3,3,,5,5
410326,7,7,7,8,9,9,7,8,,7,8
410328,9,6,6,6,6,7,6,7,6,8,5
410329,,7,,5,6,,9,7,,,
410330,8,10,8,10,8,6,10,7,,,
410331,9,7,5,3,5,,8,,,,5
410332,9,9,8,7,7,8,7,,,8,
410333,8,8,,8,8,8,9,,,,
410334,7,8,7,7,9,7,7,7,,7,7
410335,,10,10,10,9,10,,9,,8,
410336,,10,,10,10,,,,,,
410337,8,9,9,8,9,7,8,,,9,
410338,9,6,7,4,6,8,8,9,,7,8
410340,9,9,7,8,8,8,7,,6,6,7
410341,4,5,5,4,5,4,4,,,,4
410342,10,10,8,8,8,9,10,,6,6,8
410343,10,9,10,9,9,6,6,8,7,8,6
410345,,10,,,,3,2,,,,
410346,10,10,7,3,5,,5,,,,5
410347,7,2,3,4,5,,6,1,,,8
410348,,8,6,4,4,9,7,,,,
410349,8,9,8,10,8,8,8,7,,,8
410350,,7,7,,9,9,,10,,,
410352,7,9,7,8,7,,10,,,,5
410353,,,10,7,10,10,10,,,,10
410354,10,9,5,8,7,10,8,10,5,2,4
410355,,10,9,2,2,2,,6,,,
410357,3,9,7,5,5,6,6,4,,,6
410358,6,9,8,6,7,5,3,4,,9,6
410359,5,10,8,10,9,,8,,,,10
410360,8,9,9,10,10,9,10,,,,9
410361,8,9,10,,8,8,,10,8,10,
410362,,,,9,,,,,,9,
410363,7,6,9,5,8,9,10,,,,7
410364,,7,9,,10,,,,,,
410365,,,9,8,8,,9,8,,8,
410367,5,4,4,5,5,,,4,,,
410368,7,10,9,8,8,6,8,,,,3
410369,8,7,8,9,7,9,9,7,7,7,7
410370,8,8,8,8,9,10,9,,,,7
410371,,10,10,10,10,,10,,,,10
410372,10,10,9,6,9,9,7,,,9,8
410373,7,8,6,6,7,5,5,,,,5
410374,10,10,8,8,9,9,10,,9,9,9
410375,10,10,9,9,9,10,10,9,7,9,7
410376,,7,,4,5,7,2,,,,7
410377,,10,,6,10,,,10,,,
410378,4,7,3,5,4,9,,,,,
410379,9,,,,9,,10,,,,9
410380,10,9,10,10,10,10,10,9,,,
410381,8,8,8,9,9,9,8,8,9,8,8
410382,,1,2,,8,4,8,,5,,9
410383,10,10,10,10,10,9,9,,8,,
410385,8,10,10,7,8,10,9,9,10,10,5
410386,9,9,5,7,6,7,9,,,7,
410387,5,,7,,10,,,,,,
410388,7,7,6,5,4,6,7,4,,3,
410389,2,7,2,6,6,6,7,2,2,,2
410390,6,8,6,8,6,7,8,,6,3,5
410391,8,8,8,8,8,8,8,8,,8,8
410392,10,10,4,5,10,7,10,5,,,
410394,10,9,,,10,8,10,,,,
410395,10,10,10,10,10,10,10,8,,10,10
410396,7,8,6,7,7,7,7,8,9,7,6
410397,,10,7,,6,7,6,,,,
410399,9,10,10,7,9,6,8,,,,8
410400,9,10,10,9,10,10,9,10,10,9,9
410401,8,10,10,7,10,10,8,10,,7,
410403,8,9,6,7,6,8,8,,8,8,7
410404,,10,8,8,9,6,8,6,,,6
410405,7,8,8,8,9,8,7,,,,5
410406,5,8,7,7,8,7,6,9,7,7,8
410407,9,9,7,9,9,,8,,,,5
410408,,7,10,10,10,8,8,10,,,9
410409,,9,,7,5,7,6,,5,,5
410410,8,6,10,7,9,8,10,6,,6,7
410411,9,4,6,8,8,8,8,10,9,9,9
410412,8,6,5,5,5,5,5,6,6,8,6
410413,8,10,9,10,10,9,10,,9,,8
410414,10,10,10,9,10,9,10,,,,9
410415,10,9,9,10,9,10,10,9,,,9
410417,5,6,6,7,10,8,5,,,,7
410418,,5,5,6,6,10,4,,,,
410419,5,1,6,5,5,5,5,5,,7,5
410420,8,4,5,6,4,7,7,6,,,4
410422,4,4,8,5,8,6,7,6,5,8,6
410423,8,8,,8,7,10,9,10,,,8
410424,2,,2,2,6,2,5,,3,,3
410426,6,10,10,5,10,9,4,7,,9,6
410427,8,8,8,8,8,8,8,8,,8,8
410428,,4,5,8,5,8,4,,4,,7
410429,7,6,6,5,8,6,6,6,,6,5
410430,5,5,9,5,5,5,7,5,,,3
410431,6,8,9,8,5,5,9,,4,6,6
410432,,8,,6,6,9,4,,,,7
410433,,,9,10,9,10,9,9,,,
410434,,9,8,10,8,9,,,8,10,7
410435,6,3,2,3,3,5,5,6,6,7,4
410436,10,10,10,10,9,10,9,,,10,9
410438,7,8,8,7,10,8,5,10,,,5
410440,10,10,9,10,10,10,10,,,,9
410441,,4,5,5,3,4,4,2,,2,1
410442,,,,10,10,,10,,,,
410443,7,9,7,6,9,6,7,,,,
410444,3,2,5,5,3,5,6,4,5,4,5
410445,7,7,7,7,7,7,7,,,,7
410446,6,10,5,4,2,6,10,5,5,6,5
410447,,,10,,,,10,10,,10,
410449,,9,9,9,9,9,9,,,,
410450,4,8,5,8,8,4,5,4,,,
410451,10,,9,9,10,10,8,4,,,
410452,9,8,7,9,7,8,6,,,9,
410453,10,,10,10,,,,10,,,
410454,8,8,8,8,9,,9,9,,,
410455,10,10,,10,10,10,10,,,,9
410457,10,9,10,10,9,9,8,9,,9,9
410458,,6,6,5,5,,4,5,,5,4
410459,10,10,1,6,10,1,9,10,,1,1
