IOBS,b5_1,b5_2,b5_3,b5_4,b5_5,b5_6,b5_7,b5_8,b5_9,b5_10,b5_11
411413,6,6,10,9,10,9,10,,6,,6
411414,6,6,6,5,5,4,6,5,,,4
411416,,9,9,8,10,10,,10,,9,
411417,8,10,8,10,10,,8,,,,10
411418,9,10,10,9,10,,10,,,,10
411419,,,,,10,10,,,,,
411420,6,10,,,,,,8,,,
411421,4,5,5,3,5,3,3,5,,3,3
411423,10,10,10,10,10,10,10,3,,10,10
411424,10,10,9,10,10,10,10,,10,,10
411425,7,9,8,5,10,,5,8,,,
411426,10,10,10,9,10,,10,,,,
411427,4,6,6,4,4,6,5,,,4,
411428,5,10,6,8,10,,8,3,,,3
411429,10,10,9,10,9,9,10,,,,10
411430,6,6,6,10,10,10,10,6,,,6
411431,7,8,9,9,7,9,9,7,7,9,7
411432,4,4,5,5,4,6,3,,4,,4
411433,8,8,8,7,8,8,8,8,8,8,8
411434,10,,10,10,8,,10,,,,
411435,10,10,10,10,10,7,9,8,7,,
411436,8,10,8,5,10,7,7,10,6,10,5
411437,3,10,3,5,8,5,5,1,6,4,9
411438,,10,10,10,10,10,9,,,,
411439,,10,10,10,10,10,10,10,,,8
411440,3,,,3,2,,7,,,,5
411441,6,7,7,7,5,,6,6,,,6
411442,,8,7,7,7,6,6,,,,
411443,5,8,8,5,6,10,8,7,,,4
411444,5,6,6,8,9,,2,,,,
411445,,,,9,7,,,7,,,
411446,5,4,4,4,4,4,4,,,4,4
411447,10,2,10,,8,,,,,,
411448,10,,,,10,,10,,,,
411450,,10,,,,,,,,,10
411451,4,5,7,3,6,3,5,10,3,4,4
411452,8,8,7,8,8,7,8,7,,,
411453,7,10,9,7,9,9,7,10,,5,5
411454,,9,9,8,7,8,8,9,,7,
411455,3,4,,2,3,5,4,,1,,3
411456,,10,10,10,10,,9,,,,
411458,10,10,7,10,10,10,10,10,,8,8
411459,9,9,7,5,5,5,5,5,,8,5
411460,10,10,10,5,6,10,7,6,,10,
411461,,9,,6,9,,8,,,,
411462,2,3,2,2,2,2,3,10,,,4
411463,7,9,8,9,7,6,8,8,,10,7
411464,7,8,6,9,6,7,7,6,6,7,8
411465,10,10,8,4,10,,10,9,,,
411466,10,10,,6,10,6,10,,,,10
411467,,10,10,,7,,5,5,5,5,
411468,,9,,6,4,8,1,6,,,5
411469,6,10,6,10,10,6,10,3,6,6,4
411470,10,10,10,10,9,10,10,10,10,10,10
411471,10,10,10,6,7,6,10,7,,8,7
411472,7,8,7,9,9,8,7,6,8,6,8
411473,10,10,9,10,10,,10,10,,,10
411474,10,8,10,10,9,10,10,,,9,8
411475,10,1,3,3,6,10,7,,,,9
411476,8,7,6,8,7,8,8,,,,8
411477,,,7,,,,,6,,,
411478,8,8,8,8,7,9,7,7,8,7,7
411479,,9,,8,8,7,7,,,,8
411481,7,10,10,7,5,6,10,10,,8,3
411482,,10,8,10,10,,7,10,,,5
411483,7,8,,5,7,8,5,,4,,4
411484,8,7,7,8,8,6,7,5,,6,8
411485,6,10,,10,10,6,8,,,,10
411486,5,6,5,4,3,4,4,6,5,5,4
411487,8,8,9,8,9,9,8,8,,8,9
411488,9,10,10,4,7,7,6,,,,
411489,10,10,10,10,10,10,10,10,9,9,10
411490,5,5,6,4,4,4,5,,,,3
411491,7,8,7,8,7,,7,7,,,
411492,9,10,9,10,10,10,9,10,10,9,10
411493,6,6,9,7,9,9,9,,,,7
411494,9,9,9,8,9,9,9,9,,,
411495,5,10,7,10,9,7,10,,7,,10
411496,3,8,7,5,9,6,9,2,,,5
411497,8,8,8,8,8,8,8,,8,9,6
411498,7,10,,10,10,,9,,,,7
411500,8,10,8,10,8,10,8,9,9,7,10
411501,8,9,7,7,9,8,8,,8,,8
411502,5,9,9,8,8,3,6,6,2,2,3
411503,,6,5,2,1,6,6,7,,,1
411504,8,9,9,7,8,8,8,10,,,7
411506,7,2,2,10,8,,6,,,,
411508,,7,7,7,7,,7,,,,7
411509,8,10,9,9,10,8,9,,9,,9
411511,10,10,10,10,8,10,4,6,3,,7
411512,10,9,1,1,7,4,4,,,,1
411513,3,9,10,9,6,,4,,3,,5
411514,3,2,7,4,4,,3,2,,,3
411515,,,6,,7,,,,,,
411516,10,7,,,6,10,6,,,,
411517,6,10,7,5,4,5,6,2,,,
411519,,4,5,1,5,4,3,,,,1
411520,9,5,7,6,10,7,10,,,10,9
411521,9,,5,8,9,8,9,6,,,
411522,10,,,7,5,,6,,,,
411523,5,9,7,8,7,9,10,,3,,9
411524,8,9,10,8,9,8,10,10,,,7
411525,8,10,10,7,10,7,10,,,,
411526,10,10,10,8,9,10,5,,,9,10
411527,10,10,10,7,7,6,8,7,,9,6
411529,6,8,5,5,4,4,3,5,,,
411530,,10,7,6,6,8,5,,9,,6
411531,,,,10,10,,10,,,,
411532,,7,5,8,8,,10,,,,8
411533,8,9,7,8,9,2,8,,,5,6
411534,5,6,5,5,5,,6,,5,,5
411535,10,8,10,7,4,,7,,,,
411536,9,9,9,8,8,9,8,9,,9,9
411537,5,7,6,6,6,5,5,,5,6,6
411539,10,8,7,8,9,8,5,10,7,8,7
411540,9,9,8,9,9,8,8,,7,,8
411541,7,8,7,7,7,8,9,,,,8
411543,8,10,10,10,10,10,10,8,10,10,10
411544,9,2,6,8,7,10,7,,,,
411545,8,6,4,2,6,7,7,8,,,3
411546,7,6,9,,8,6,,8,,6,6
411547,6,9,1,2,5,10,7,8,,1,4
411548,8,9,7,8,8,7,8,,,,
411549,,7,,,4,,,,3,,
411551,7,10,8,7,10,8,,,,,8
411552,10,10,10,10,10,10,10,8,,,10
411553,7,10,6,6,8,5,6,8,,,6
411554,8,10,8,,8,8,7,10,,9,
411555,10,10,10,1,1,,10,,,,6
411556,2,,8,5,6,9,5,8,,,5
411557,10,10,10,6,6,7,8,4,,,4
411558,,7,7,9,6,5,8,,,,5
411559,10,,10,9,9,10,8,10,8,8,9
411560,10,9,10,7,5,10,3,6,7,5,8
411561,7,8,7,6,8,7,8,,,,7
411563,7,8,9,8,8,8,9,,,8,8
411564,,10,,,8,10,7,8,,,
411565,6,,7,5,8,,6,,,,
411566,7,7,,8,7,10,8,,6,,7
411567,7,5,6,5,5,7,8,,9,5,6
411568,,5,3,2,4,,,2,,,
411569,7,9,8,7,8,9,8,,,9,9
411570,10,10,10,10,9,10,10,10,10,10,10
411571,,10,10,10,10,,10,,,,
411573,8,5,5,8,8,9,10,3,5,5,6
411574,1,10,1,1,3,1,6,,,,10
411575,10,10,10,10,10,10,10,,,9,10
411576,,6,5,7,5,4,10,,,,6
411577,1,4,1,1,5,1,,,,,
411579,8,8,8,8,8,,8,8,,,8
411580,10,10,10,10,5,5,10,5,,6,10
411581,6,9,9,5,6,8,6,,,,7
411582,10,9,10,10,9,10,10,10,10,10,9
411583,9,10,10,10,10,,10,7,,,5
411584,,8,7,6,7,,,7,,,
411585,7,10,6,10,6,4,6,5,,,6
411586,10,,5,6,,6,10,5,,,
411587,2,,,7,10,5,4,,,,6
411588,10,9,9,7,9,10,9,10,9,,9
411589,5,5,6,6,5,6,6,,7,6,6
411590,7,9,7,7,8,10,7,7,,7,8
411592,10,10,10,9,10,10,10,10,10,10,10
411593,9,9,9,9,9,9,9,9,,10,9
411594,,10,7,9,10,10,10,,,,6
411596,5,7,9,7,7,7,6,7,,9,6
411597,,10,8,8,8,8,,8,,,
411598,,10,9,6,6,9,8,6,,,
411599,6,10,,10,10,10,8,4,,6,3
411600,10,,8,6,10,6,7,4,,,10
411601,7,10,8,8,8,7,8,,,,5
411602,,10,,10,10,,10,,,,
411604,,10,7,10,10,,10,,,,
411607,7,8,3,,7,6,6,6,,,
411608,10,10,8,10,9,10,9,,,,7
411609,,10,9,,,,10,10,,,
411610,10,10,,9,8,,10,,,,9
411612,10,8,8,10,10,10,10,7,5,7,10
411613,3,8,2,4,7,7,8,2,,2,2
411614,,2,,8,3,,2,,10,,
411615,9,,8,7,10,,10,,,,10
411616,7,10,10,10,10,10,10,,,7,7
411617,9,8,9,8,8,8,9,,8,9,7
411618,,,6,6,6,7,6,5,,,
411619,,,,,10,10,1,1,,,
411620,8,10,9,8,10,7,8,9,,,6
411621,6,7,9,7,6,7,7,2,,,1
411622,5,1,10,5,5,5,5,8,,5,5
411623,6,8,5,8,6,7,8,9,,,9
411624,,10,3,7,9,5,8,,,,9
411625,6,9,7,6,6,4,6,,,9,6
411626,,,7,6,6,,,,,,
411627,3,7,5,8,8,6,5,5,,1,6
411628,4,7,2,4,3,6,2,4,,,2
411629,,,9,8,8,,10,,10,,
411630,5,5,5,4,8,10,10,10,6,,6
411631,5,5,5,5,5,5,5,5,4,,
411632,8,8,8,8,8,8,8,8,9,,
411633,8,8,7,9,8,9,10,9,7,6,
411634,7,9,9,9,9,7,9,9,,,6
411635,8,10,8,9,9,9,9,8,,,8
411637,10,10,10,10,10,10,10,6,6,10,10
411638,8,9,9,8,9,8,9,8,8,9,8
411639,,4,3,3,7,,5,,,,5
411640,10,,,,,,9,9,,,
411641,10,10,8,8,9,10,9,9,8,10,10
411642,6,10,,6,6,6,6,10,,,
411643,10,6,8,5,5,9,10,,,,5
411644,,4,2,5,10,,5,3,1,,4
411645,8,8,8,,10,10,8,10,,9,7
411646,,8,10,7,7,8,9,,,,
411647,5,6,5,5,5,4,3,,,,5
411648,6,8,7,7,5,5,8,5,,,6
411649,5,7,8,8,7,6,9,8,,4,
411651,8,9,9,8,8,8,8,8,,8,8
411653,10,10,1,2,10,2,7,10,,,1
411654,,9,8,,,9,,,,,
411655,8,8,8,6,8,8,8,,5,2,6
411656,9,8,5,6,6,7,6,,,,7
411657,,7,6,5,5,6,7,7,,,3
411659,9,10,8,9,8,8,9,,,,8
411661,5,8,7,7,3,7,4,7,,6,3
411662,7,10,10,6,8,8,10,,7,5,6
411663,7,7,8,7,7,7,8,8,,,7
411664,,10,10,8,10,10,10,,,,10
411666,9,9,8,9,9,,8,8,,,8
411667,7,7,5,5,6,9,8,,7,9,7
411668,2,4,10,2,9,3,4,4,4,,4
411669,7,8,9,7,7,8,8,8,6,,
411670,,10,,2,9,,6,,,,
411671,3,5,3,4,5,3,2,2,3,3,2
411673,7,5,10,,,,6,,,,
411674,7,7,6,8,6,6,5,7,6,,3
411675,7,8,7,9,9,9,8,9,,8,7
411676,9,1,2,3,6,5,,4,5,1,1
411677,,1,,3,1,,,6,,,
411678,5,5,8,6,7,9,6,5,5,6,7
411679,8,7,4,5,3,4,6,5,4,6,6
411680,8,5,6,5,7,7,6,4,6,6,7
411681,8,10,8,8,8,8,8,9,8,9,8
411682,5,7,3,7,9,2,5,6,,,8
411683,6,8,4,4,5,6,9,10,,4,6
411684,5,7,6,6,7,8,6,,,6,6
411685,5,10,,10,,,6,4,6,,9
411686,5,10,6,6,7,9,10,,,,7
411687,6,9,8,9,8,8,8,,,,8
411688,,7,8,,6,,7,5,,,7
411689,4,5,3,3,3,5,3,4,,5,6
411690,,10,9,7,10,7,8,,,,
411691,2,5,10,5,2,10,10,,,,5
411692,8,5,7,6,8,5,8,4,6,5,6
411693,9,9,9,9,9,9,9,,,,
411694,,10,,9,10,10,9,10,,,9
411695,9,10,10,7,8,9,9,6,,,9
411696,,9,9,9,9,9,9,9,,,6
411697,10,8,8,3,3,5,7,6,10,7,2
411699,9,8,10,9,6,8,7,6,,,8
411700,6,5,4,5,5,,5,,8,,5
411701,3,6,4,6,3,,,4,,,2
411703,,9,,7,8,,9,,,,
411704,,8,,6,7,9,8,,,,6
411705,8,5,8,5,8,,4,8,,,
411706,6,6,6,7,6,6,7,7,4,5,6
411707,6,10,5,7,10,5,8,9,,5,6
411708,5,3,9,10,6,5,9,,,,7
411709,6,7,9,10,10,10,10,10,,,
411710,5,8,8,6,8,10,5,,,,6
411711,10,9,8,8,8,10,10,,,10,7
411712,8,8,8,8,8,8,8,8,,8,
411713,7,9,10,8,10,9,9,,,9,7
411714,,10,10,,10,,10,,,10,
411715,,6,6,,6,,5,,,,
411716,,1,,1,1,,,,,,
411717,,,9,,10,,,,,,7
411718,9,9,,10,9,,9,,,,10
411719,,8,,,10,,9,,,,9
411720,,5,1,10,6,2,5,,,,2
411721,9,9,,9,9,9,9,8,,,9
411722,,10,10,1,10,10,10,1,,,
411723,8,10,7,6,6,10,8,,,,7
411724,,10,10,9,9,,10,7,,,10
411725,6,10,,10,5,10,8,,,,7
411726,7,10,5,7,8,10,8,,,10,7
411727,7,7,7,9,9,7,8,5,,8,
411728,2,6,4,1,3,5,4,6,7,,3
411729,,10,10,,,9,9,,,,
411730,,6,5,10,7,6,,,,,
411731,,,7,8,9,,6,,,,
411732,8,10,10,9,8,10,10,,,,9
411733,4,7,6,6,7,8,6,,,,6
411734,7,7,7,7,7,7,7,,,,7
411735,8,10,10,10,8,10,8,10,8,8,8
411736,6,5,6,,,5,7,,,,
411737,,,8,4,6,,7,9,,,
411738,7,9,8,7,8,9,7,,,8,7
411739,5,5,7,5,6,4,8,,,,5
411740,9,10,10,10,10,10,10,,,10,10
411741,3,8,10,3,1,4,4,4,,,4
411742,2,10,1,2,10,3,1,,,,
411743,8,5,9,8,9,7,5,9,6,9,8
411746,4,4,7,7,7,6,7,,,,4
411747,10,10,9,8,7,10,8,,,,7
411748,5,7,6,5,8,5,7,7,,5,5
411749,,6,7,4,6,5,5,7,,,
411750,7,10,,8,7,,8,,,,
411751,10,10,8,,10,9,,10,,,
411753,5,9,9,7,8,7,7,,,,10
411754,7,1,8,7,8,10,6,,,6,6
411755,9,10,9,9,9,9,9,,,10,9
411756,,10,10,,9,,10,,,,
411757,8,8,8,8,8,8,8,,,,7
411759,,5,,4,5,2,3,,,,2
411760,6,7,6,6,8,7,9,9,8,8,7
411761,10,10,10,9,10,10,10,10,9,,9
411762,,10,10,9,10,10,10,10,,,
411763,4,7,10,5,8,10,6,4,,,8
411764,,9,4,,7,5,,,,,4
411765,5,8,7,6,8,5,4,5,,6,4
411766,5,8,4,4,7,6,10,9,,2,5
411767,5,8,5,4,5,4,5,,,6,4
411768,10,10,10,8,8,9,10,8,,10,8
411771,5,4,7,7,7,6,7,4,,6,7
411772,1,9,8,8,8,9,7,,,2,8
411773,2,8,,10,9,9,,5,,,
411774,,10,7,,10,10,6,,,,9
411775,,10,9,,10,,,,,,9
411776,9,9,9,9,9,9,9,9,,9,9
411777,10,6,6,8,8,10,10,,6,6,6
411778,5,10,5,10,10,10,8,,,,8
411779,8,9,9,6,8,,5,,,10,9
411780,4,9,5,4,3,3,5,,8,,6
411781,,7,6,7,7,8,,6,,,
411782,9,8,9,7,7,7,6,8,,,
411783,10,10,3,2,7,4,5,4,10,,
411784,5,5,5,5,5,5,5,5,,5,5
411785,6,8,8,7,8,8,6,,,,
411786,8,8,6,7,7,5,7,4,,8,5
411787,8,8,8,8,8,8,8,,,,8
411788,9,9,8,9,9,9,9,,7,8,8
411789,10,10,10,9,10,,,,,10,10
411790,,10,9,8,8,10,10,,,,7
411791,10,10,8,9,9,9,9,8,,,9
411792,,5,6,7,9,4,7,,2,,5
411793,8,7,8,10,10,10,9,,,,8
411795,8,8,10,9,10,8,8,,,,5
411796,9,9,9,9,10,9,9,,9,,
411797,4,8,4,10,6,10,4,2,4,3,5
411800,,,9,,10,,5,,,,
411801,6,10,10,10,10,5,,6,,,10
411802,9,4,10,6,8,8,10,,,,8
411804,7,8,6,6,7,8,7,7,,8,6
411805,,5,,10,10,,10,,,6,6
411806,,8,8,9,9,9,8,,,,
411807,1,8,1,8,8,8,8,1,,10,10
411810,8,,,,8,5,5,,,,
411811,9,5,9,7,7,6,9,9,,,8
411812,,10,10,10,10,10,8,,,,8
411813,8,8,7,6,7,6,7,7,,,6
411814,10,10,10,9,9,9,9,9,8,9,9
411815,10,10,10,2,10,9,9,10,,10,10
411817,10,9,10,7,9,,,10,,,
411818,9,10,10,,,8,7,,,,8
411819,7,10,10,9,9,7,7,8,,,7
411820,9,9,7,7,8,6,8,7,,8,7
411821,10,9,10,9,9,7,10,,,7,10
411823,6,9,8,6,9,7,8,,,,8
411824,10,10,10,7,10,6,8,,,,9
411825,8,8,8,8,8,8,8,8,,,8
411826,7,8,10,5,5,8,9,,,10,5
411827,8,6,6,5,6,6,7,,,,6
411828,10,10,8,9,7,,,,,,
411829,10,,10,,9,,,,,,
411830,8,9,9,8,8,9,8,6,7,9,9
411831,7,7,6,5,5,7,7,5,6,8,5
411832,10,10,10,,10,,10,,,,
411833,7,7,9,8,8,,9,,7,,7
411834,,10,,,9,,9,,,,
411835,,9,10,10,9,10,7,10,,,
411836,4,10,9,7,4,8,8,1,3,2,4
411837,10,,10,,10,10,10,,,10,
411838,,6,,,8,,6,7,5,,
411839,4,5,5,6,5,4,6,6,5,3,5
411840,2,,2,6,4,,2,,,,
411841,4,5,5,8,5,6,,7,,,
411842,10,7,10,5,7,,8,9,,,
411844,,6,,5,7,,7,6,,,5
411845,9,,10,10,10,,10,10,,,
411846,5,5,5,5,5,5,5,5,,,5
411847,4,10,9,7,4,3,5,,,,6
411848,10,10,7,6,5,6,10,8,7,8,6
411849,,6,7,6,6,7,5,,,,
411850,8,9,10,,7,,,,,,
411851,,8,9,7,10,7,10,,,,10
411852,,7,5,10,10,7,7,,,,3
411853,6,7,,6,7,7,6,,7,,
411854,3,8,6,6,5,4,3,,5,7,3
411855,6,10,10,9,9,8,10,,4,2,6
411856,9,9,8,6,8,10,,,,6,10
411858,8,10,9,9,9,8,7,,,10,
411859,9,6,9,6,,9,,,,7,
411860,,4,9,2,5,,,,,,
411861,8,6,8,8,8,8,8,7,8,8,8
411862,8,9,9,8,8,8,8,8,7,8,8
411863,3,7,7,2,9,2,5,6,3,8,4
411864,6,7,7,9,8,6,6,6,,,7
411865,,,,,10,,,10,,,
411866,7,10,9,9,8,4,9,6,5,,7
411867,5,8,9,4,7,8,6,6,,,9
411869,3,5,5,,5,3,5,,,,2
411870,8,7,8,7,5,7,7,7,,,6
411871,9,10,7,6,7,7,5,9,2,9,8
411872,6,6,5,6,7,8,8,,,,
411873,,9,8,,8,8,8,8,7,,
411874,1,5,10,7,9,1,5,2,,,
411875,5,10,5,2,8,6,10,10,,,5
411876,10,8,7,8,8,9,9,9,7,7,8
411877,,4,,5,4,4,4,4,,,
411878,7,8,7,6,9,,9,4,,,5
411879,6,8,8,8,9,7,7,8,7,8,8
411880,,,5,5,5,8,8,,,,
411881,10,8,9,8,8,8,8,8,8,8,8
411882,10,10,9,,10,10,7,10,10,10,7
411884,10,10,10,9,10,,10,,,,
411885,8,10,9,9,9,,8,,,,8
411886,7,6,4,3,4,,6,7,4,,5
411887,10,9,10,10,10,10,10,9,,10,10
411890,,10,,,,,8,1,,,10
411891,8,7,9,9,9,6,7,,,8,7
411892,10,10,10,9,5,10,9,5,5,10,9
411893,7,8,6,7,8,8,8,7,,,7
411894,7,7,7,7,8,,7,,,,7
411895,,8,8,8,8,,8,,,8,
411896,9,8,10,,,9,9,9,,10,
411898,,8,6,,6,4,,,,,4
411899,,,4,3,3,,4,,,,
411900,8,10,10,9,8,9,8,9,,8,8
411901,3,5,4,3,6,3,6,2,,3,2
411904,7,7,7,7,7,6,6,6,6,5,7
411905,6,6,5,5,7,6,4,,1,,
411906,,6,10,10,9,8,7,,,,
411907,2,5,6,5,4,10,5,4,10,5,5
411908,10,,,10,10,10,,10,,10,10
411909,,8,8,8,8,8,9,,,,
411910,9,8,9,9,8,8,8,8,,,
411911,8,9,,8,8,,7,,,,
411912,8,8,8,8,9,,8,8,,,
411913,,9,8,8,9,,,,,,8
411914,,8,7,7,5,,4,,,,
411915,,7,8,7,5,5,8,,,,4
411916,9,7,9,,,7,6,,,,
411918,1,1,7,1,1,1,1,1,2,1,1
411919,9,8,8,8,8,8,8,,,9,
411920,9,8,9,8,9,,9,,,8,
411921,,7,6,,8,7,8,6,,,
411922,8,9,8,8,8,,7,,,8,
411925,8,8,8,8,8,,8,,,8,
411926,,8,8,7,8,,7,,,8,8
411927,,8,8,8,8,8,8,,,8,
411928,,8,8,8,8,,,,,8,
411929,,8,9,,8,,8,,,,
411930,8,8,8,8,8,8,,,,8,
411931,8,8,8,9,8,8,8,,,,
411932,,,10,10,10,,10,,,,
411933,3,4,4,4,5,,,3,5,,
411934,,9,6,7,7,5,6,,,,
411935,5,9,7,,7,8,8,,,,
411936,10,10,10,8,9,,10,,,,
411937,8,9,8,8,9,8,8,,,,8
411938,,8,9,8,8,,8,,,8,
411939,9,9,9,9,9,9,9,9,,9,
411940,8,8,8,8,8,8,8,,,,
411941,8,8,9,9,9,9,9,9,,9,
411942,8,9,8,8,8,8,,8,,,8
411943,9,8,8,9,9,,,,8,,
411944,8,8,8,8,8,,,,,8,9
411945,8,8,9,8,8,8,,,8,8,
411946,,8,9,,8,9,8,,,,
411948,8,8,8,8,8,8,8,9,,,
411949,9,9,9,9,8,,8,9,,,
411950,8,8,8,8,7,8,7,,,,
411951,8,7,8,8,8,8,8,,,,
411952,8,9,8,8,9,8,8,,,8,
411953,,10,,5,5,8,10,,,,10
411954,9,9,9,9,9,9,9,,,9,
411955,7,9,8,7,8,,7,,,,7
411956,8,8,8,8,8,9,7,8,,8,
411957,8,8,8,8,8,,,8,,,
411958,8,8,8,8,8,8,8,,,8,
411960,8,8,8,8,8,,,,,8,
411961,8,8,8,8,9,,7,8,,7,
411962,8,8,,8,8,9,8,8,,,
411963,9,9,8,8,8,9,9,9,,8,9
411964,8,8,8,8,9,,8,8,,9,
411966,9,8,8,8,9,9,9,9,,8,
411967,9,9,9,8,8,9,9,9,,9,
411968,9,8,9,9,9,9,9,9,,9,
411969,8,7,8,8,8,8,8,,,8,
411970,,,8,3,7,,7,,,,
411971,9,9,9,9,9,9,,9,,9,8
411972,9,9,8,8,8,8,8,,,8,
411973,9,8,9,9,9,9,9,9,9,9,
411974,,10,,10,10,,10,,,,9
411975,9,6,7,8,8,7,6,,,10,7
411976,8,9,,9,9,,9,,,9,
411977,9,9,9,9,9,8,9,8,,8,
411978,9,9,9,9,9,9,9,,,9,
411979,9,9,9,8,9,9,9,,,9,
411980,9,8,9,9,9,9,8,,,,
411981,6,3,4,5,5,5,6,,,,3
411982,9,9,9,9,9,9,9,,,9,
411983,9,8,9,9,9,9,8,9,,9,
411984,9,9,9,9,9,9,9,9,9,9,9
411985,9,9,9,9,9,9,9,,,,
411986,8,8,8,8,8,8,8,,,8,
411987,9,9,,9,9,9,9,9,9,9,
411988,9,9,9,9,9,9,9,9,9,9,
411989,,9,9,9,9,9,9,9,9,9,9
411992,,9,8,,9,,9,,,,
411993,9,1,2,4,3,2,1,7,1,1,1
411994,9,9,8,,,8,,,,,
411996,9,9,,9,9,9,,,,,
411997,9,9,9,9,9,9,9,,,9,
411998,8,9,8,8,9,8,8,8,8,8,9
411999,9,9,9,9,9,,8,9,,,
412000,6,8,9,7,9,5,5,,,,
412001,9,9,9,9,9,,9,9,,,
412002,,,,9,,9,9,,,,
412005,,10,,10,10,10,10,,,,9
412006,9,9,,,,9,9,,,9,
412008,6,6,6,7,10,10,4,,,,10
412013,9,,9,,9,9,,,,,
412014,9,9,9,9,9,,,,,,
412015,8,10,10,9,8,8,8,,8,8,
412017,9,9,9,7,7,9,7,7,,,
412018,9,9,,,9,,9,,,,
412019,4,10,6,8,5,6,6,5,,,5
412020,8,6,8,7,7,,9,10,,,
412021,8,10,10,10,10,6,9,,,,7
412022,4,5,2,3,5,3,4,,,7,2
412023,9,9,8,9,8,9,8,,,10,
412025,,8,8,8,8,8,8,8,,,
412026,8,10,,8,8,8,9,10,7,,
412027,8,7,9,7,8,8,7,8,7,7,7
412028,6,10,,3,6,5,5,,,,7
412029,9,,9,,9,,,,,9,
412032,,9,9,,8,,9,,,,
412034,,9,8,9,,,,,,,9
412037,,10,6,7,,,8,,,,
412038,,,9,8,8,,,9,,,
412043,,9,8,8,8,,,,,,
412044,,10,9,,,,,,,,
412046,8,9,8,9,9,8,9,,,9,
412048,10,,,8,,,,,,,
412049,9,9,9,9,9,,9,,,,
412050,,,,,10,,9,,,,
412051,,,9,,9,,9,,,,
412052,7,,6,4,3,,6,8,,,
412054,,,10,,,,,,,10,
412056,,,9,,,,9,,,8,
412060,,,,,,9,8,,,,
412061,,,,,,,,8,,9,
412062,,9,,,,,,,,9,
412063,,8,9,,,,9,,,,
412064,,,8,,8,7,9,,,,
412066,,,8,7,,,8,,,7,
412067,7,8,8,,,,8,,,,
412069,6,8,7,9,9,8,8,7,,7,6
412070,,9,8,9,8,8,8,,7,,5
412071,5,3,5,5,5,5,5,5,1,1,
412072,8,8,7,8,6,10,8,,,,5
412074,9,,9,9,9,9,9,,,,9
412075,9,9,9,,9,9,,,,,
412076,9,9,9,,8,,9,,,9,
412078,9,9,9,9,9,,,,,,
412079,,9,9,8,8,,8,,,,
412081,,9,9,9,9,9,9,9,,,
412082,8,9,8,8,9,,,,,,
412084,,9,9,8,9,,,,,,
412086,,9,9,9,9,,,,,9,
412087,,9,,7,8,7,,,,,8
412088,,3,3,8,6,5,3,,,,4
412089,8,9,9,,8,6,8,8,8,,
412090,4,10,6,2,6,4,4,,,,3
412091,9,10,9,7,10,7,7,,7,7,7
412093,8,8,8,9,9,,8,,9,,
